t,dp1,dp2,dp3,tau1,tau2,tau3
0.17,0.862231541197646,-0.397186029310443,2.48743645599576,-14.0469445101448,2.7827065964554,-4.2313114033828
0.18,0.854230724725412,-0.399595526584313,2.47396030103313,-13.5800655831434,2.85852293202177,-4.14278305313452
0.19,0.846229908253177,-0.402005023858184,2.4604841460705,-13.1130744682778,2.93267889888354,-4.05444582497645
0.2,0.838229091780943,-0.404414521132054,2.44700799110787,-12.6460320788148,3.00512585539476,-3.966347207592
0.21,0.830228275308709,-0.406824018405924,2.43353183614524,-12.1789990969702,3.075815670112,-3.87853446810257
0.22,0.822227458836474,-0.409233515679795,2.42005568118261,-11.7120359568403,3.14470074831962,-3.79105462438668
0.23,0.81422664236424,-0.411643012953665,2.40657952621997,-11.2452028275395,3.21173405834926,-3.70395441752645
0.24,0.806225825892006,-0.414052510227536,2.39310337125734,-10.7785595965554,3.2768691576901,-3.61728028439226
0.25,0.798225009419771,-0.416462007501406,2.37962721629471,-10.3121658533317,3.34006021884701,-3.53107833039848
0.26,0.790224192947537,-0.418871504775277,2.36615106133208,-9.8460808730666,3.40126205494556,-3.44539430243626
0.27,0.782223376475303,-0.421281002049147,2.35267490636945,-9.3803636007381,3.46043014506693,-3.36027356200076
0.28,0.774222560003069,-0.423690499323017,2.33919875140682,-8.91507263537042,3.51752065928834,-3.2757610585331
0.29,0.766221743530835,-0.426099996596888,2.32572259644419,-8.45026621452861,3.5724904834218,-3.19190130299302
0.3,0.758220927058601,-0.428509493870758,2.31224644148156,-7.9860021990475,3.62529724344043,-3.10873834166889
0.31,0.750220110586367,-0.430918991144628,2.29877028651893,-7.52233805800846,3.67589932956458,-3.02631573024768
0.32,0.742219294114132,-0.433328488418498,2.2852941315563,-7.05933085395355,3.72425591998933,-2.94467650817494
0.33,0.734218477641898,-0.435737985692369,2.27181797659367,-6.59703722834369,3.7703270042584,-2.86386317329529
0.34,0.726217661169664,-0.438147482966239,2.25834182163104,-6.13551338726785,3.8140734062429,-2.78391765680568
0.35,0.71821684469743,-0.440556980240109,2.24486566666841,-5.67481508739639,3.85545680672265,-2.70488129853703
0.36,0.710216028225196,-0.44296647751398,2.23138951170577,-5.21499762218574,3.8944397655783,-2.62679482256229
0.37,0.702215211752962,-0.44537597478785,2.21791335674314,-4.75611580833466,3.93098574354029,-2.54969831316637
0.38,0.694214395280727,-0.44778547206172,2.20443720178051,-4.29822397249415,3.96505912348854,-2.4736311911904
0.39,0.686213578808493,-0.450194969335591,2.19096104681788,-3.84137593823484,3.9966252313067,-2.39863219075655
0.4,0.678212762336258,-0.452604466609462,2.17748489185525,-3.38562501325789,4.02565035627514,-2.3247393363842
0.41,0.670211945864024,-0.455013963883332,2.16400873689262,-2.93102397686684,4.05210177097181,-2.25198992052843
0.42,0.66221112939179,-0.457423461157202,2.15053258192998,-2.47762506770106,4.07594775067142,-2.18042048154682
0.43,0.654210312919556,-0.459832958431073,2.13705642696735,-2.02547997171743,4.09715759225981,-2.11006678209553
0.44,0.646209496447322,-0.462242455704943,2.12358027200472,-1.57463981042615,4.11570163260137,-2.0409637879884
0.45,0.638208679975087,-0.464651952978813,2.11010411704209,-1.12515512939628,4.13155126636352,-1.97314564753326
0.46,0.630207863502853,-0.467061450252684,2.09662796207946,-0.677075887003466,4.14467896332821,-1.90664567133492
0.47,0.622207047030619,-0.469470947526554,2.08315180711683,-0.230451443436706,4.15505828513329,-1.84149631258351
0.48,0.614206230558385,-0.471880444800424,2.0696756521542,0.21466945002807,4.16266390141916,-1.77772914787776
0.49,0.606205414086151,-0.474289942074294,2.05619949719157,0.658238661518258,4.16747160541929,-1.71537485854655
0.5,0.598204597613917,-0.476699439348165,2.04272334222894,1.10020868878379,4.16945832895149,-1.65446321250019
0.51,0.590203781141683,-0.479108936622035,2.02924718726631,1.54053266916502,4.1686021567811,-1.59502304664897
